IDX,BestObjective,NumOfIndividuals,NumOfDimensions,NumOfIterations,NumOfFunctionCall,ElapsedTime,ObjectiveFunction,Algorithm
0,2.432361703,100,30,150,15000,22.95775509,Ackley,GOA
1,1.695939835,100,30,150,15000,22.96648884,Ackley,GOA
2,2.044096707,100,30,150,15000,21.44883823,Ackley,GOA
3,1.870594007,100,30,150,15000,21.48995495,Ackley,GOA
4,2.546821665,100,30,150,15000,21.40228128,Ackley,GOA
5,1.582223587,100,30,150,15000,22.01174212,Ackley,GOA
6,1.407457815,100,30,150,15000,21.70816588,Ackley,GOA
7,1.911550781,100,30,150,15000,21.38350415,Ackley,GOA
8,2.358506483,100,30,150,15000,21.6142211,Ackley,GOA
9,2.239508287,100,30,150,15000,21.43958807,Ackley,GOA
10,1.556398369,100,30,150,15000,21.49966598,Ackley,GOA
11,2.840506029,100,30,150,15000,21.52694178,Ackley,GOA
12,1.159738042,100,30,150,15000,21.30698514,Ackley,GOA
13,2.711733219,100,30,150,15000,21.65607285,Ackley,GOA
14,2.090691874,100,30,150,15000,21.436239,Ackley,GOA
15,2.224952736,100,30,150,15000,21.60281801,Ackley,GOA
16,1.996336262,100,30,150,15000,21.39057994,Ackley,GOA
17,1.672814674,100,30,150,15000,22.17528009,Ackley,GOA
18,1.724917553,100,30,150,15000,21.87543678,Ackley,GOA
19,1.966250367,100,30,150,15000,21.42419004,Ackley,GOA
20,3.171679738,100,30,150,15000,21.51587391,Ackley,GOA
21,2.166275648,100,30,150,15000,21.40332913,Ackley,GOA
22,1.583319476,100,30,150,15000,21.63852,Ackley,GOA
23,2.120255449,100,30,150,15000,21.78252888,Ackley,GOA
24,2.346229921,100,30,150,15000,21.35782576,Ackley,GOA
25,1.684446818,100,30,150,15000,21.45781589,Ackley,GOA
26,2.153926931,100,30,150,15000,21.25673079,Ackley,GOA
27,2.541369694,100,30,150,15000,21.38559318,Ackley,GOA
28,1.927675971,100,30,150,15000,21.33754492,Ackley,GOA
29,2.125658133,100,30,150,15000,21.79770017,Ackley,GOA
30,1.397068103,100,30,150,15000,21.30177593,Ackley,GOA
31,2.538533192,100,30,150,15000,21.47694397,Ackley,GOA
32,2.494968011,100,30,150,15000,21.38917828,Ackley,GOA
33,2.130140337,100,30,150,15000,21.38261819,Ackley,GOA
34,1.849903146,100,30,150,15000,21.25502396,Ackley,GOA
35,2.348259311,100,30,150,15000,21.677356,Ackley,GOA
36,2.101183458,100,30,150,15000,22.83170605,Ackley,GOA
37,1.656976522,100,30,150,15000,22.6931591,Ackley,GOA
38,2.340259367,100,30,150,15000,22.02665281,Ackley,GOA
39,2.002034724,100,30,150,15000,22.57930493,Ackley,GOA
40,2.571595011,100,30,150,15000,22.43352008,Ackley,GOA
41,2.388721855,100,30,150,15000,22.07543921,Ackley,GOA
42,2.242086617,100,30,150,15000,21.69049501,Ackley,GOA
43,2.57327874,100,30,150,15000,21.80529308,Ackley,GOA
44,2.23062057,100,30,150,15000,21.62778807,Ackley,GOA
45,2.65755298,100,30,150,15000,21.57872105,Ackley,GOA
46,1.441010371,100,30,150,15000,21.67699313,Ackley,GOA
47,1.969656961,100,30,150,15000,21.58853364,Ackley,GOA
48,2.111034294,100,30,150,15000,21.88448787,Ackley,GOA
49,1.598280704,100,30,150,15000,21.6240809,Ackley,GOA
50,2.31526113,100,30,150,15000,21.90602493,Ackley,GOA
51,2.157152646,100,30,150,15000,21.42316079,Ackley,GOA
52,2.096687733,100,30,150,15000,21.59623718,Ackley,GOA
53,2.072885248,100,30,150,15000,21.64992118,Ackley,GOA
54,2.401834755,100,30,150,15000,21.54883718,Ackley,GOA
55,2.048800234,100,30,150,15000,21.86666799,Ackley,GOA
56,1.531378151,100,30,150,15000,21.52323294,Ackley,GOA
57,1.847905856,100,30,150,15000,21.93297672,Ackley,GOA
58,2.711605031,100,30,150,15000,22.32503891,Ackley,GOA
59,2.859625719,100,30,150,15000,21.32713008,Ackley,GOA
60,1.967115737,100,30,150,15000,21.66760683,Ackley,GOA
61,2.102238412,100,30,150,15000,21.63792419,Ackley,GOA
62,2.107192501,100,30,150,15000,21.20486999,Ackley,GOA
